Programs,Stimulation Score,TV or YouTube,Target Age Group,Seasons,,Avg. Epsiode,"Themes, Teachings, Guidance",Interactivity Level,Animation Styles,Dialougue Intensity,Sound Effects,Music Tempo,Total Music,Total Sound Effect Time,Scene Frequency
A for Adley,4,YouTube,3-8,,,,"Preschool-Basics, Creativity & Imagination, Family Relationships, Family Values, Conflict Resolution, Problem Solving, Relatable Situations",High,Live-Action Family Videos,Moderate-High,Moderate-High,Moderate,Moderate,Moderate,Moderate-High
"Ada Twist, Scientist",3,TV,4-8,4 Seasons,, 12 minutes,"Positive Role Models, STEM, Critical Thinking, Curiosity, Problem Solving, Teamwork, Perseverance, Science",High,3D CGI animation with bright and vivid colors,Moderate-High,Moderate,Moderate,Moderate,Moderate,Moderate
Adventure Agents,4,YouTube,"6-12, 12+",,,,"Enviromental Awareness, Cause and Effect, Life Lessons, Outdoor Exploration, Nature, Natural World, Exploration, Motor Skills, Animals, Farm Life, Emotional Intelligence, Problem Solving, Critical Thinking, Teamwork, Curiosity, Adventure, Discovery, Safety, Nature Sounds, Healthy Eating, Confidence Building, Mature Themes, Wild Animal Captures and Cooking",High,Live Action Outdoors Survival Adventure,Moderate-High,Mod-High (Nature),Low,Low,Moderate-High,Moderate
Adventure Time (2010-2018),5,TV,10-14,10 Seasons,, 11 minutes,"Creativity & Imagination, Humor, Problem Solving, Friendship, Entertainment, Fantasy Elements, Adventure, Mild Mature Themes",Low to Moderate,Traditional hand-drawn 2D animation,High,High,Moderate-High,High,High,High
Akili and Me,3,YouTube,3-6,,,,"Creativity & Imagination, Early Childhood experiences, Cultures & Traditions, Cultural & Social, Life Lessons, Preschool-Basics, Numeracy, Literacy, Motor Skills, Music, Repetitive Learning, Language Learning, Exercise, Colours, Shapes, sing-a-long, Social-Emotional, Cognitive Development",High,2D digital animation with a hand-drawn look. Bright and cheerful colors with simple backgrounds,High,Moderate,Moderate,High,Moderate,Moderate
Alma's Way,2,TV,4-8,2 Seasons,, 26 minutes,"Cultures & Traditions, Cause and Effect, Social-Emotional, Critical Thinking, Problem Solving",High,2D digital animation with a hand-drawn look. Bright and cheerful colors with simple backgrounds,Moderate,Low-Moderate,Moderate,Moderate-High,Low,Low
Alphablocks,3,TV,3-6,5 Seasons,, 5 minutes,"Preschool-Basics, Literacy, Phonics, Language Learning",High,2D digital animation with colorful and stylized block characters.,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Amakandu,1,YouTube,Any,,,,"Engineering Concepts, Creativity & Imagination, Sensory Exploration, Mindfulness, Nature, Relaxation, Captivating Visuals, Nature Sounds, ASMR",Low,Real Props No Animations ,None,High,Low,Low,High,High
Andy's Dinosaur Adventures,3,TV,4-8,1 Season,,14 minutes,"Dinosaurs, Paleontology, Adventure, Science, Natural History, Curiosity",Moderate,Combination of live-action and CGI animation.,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Angelina Ballerina (2008-2010),3,TV,3-6,,,12 minutes,"Cultural Appreciation, Creativity & Imagination, Perseverance, Friendship, Problem Solving, Ballet, Motor Skills",Low to Moderate,3D CGI Animation,Moderate,Moderate,Moderate,High,Moderate,Moderate
Art Kids TV,3,YouTube,5-12,,,,"Arts & Crafts, Preschool-Basics, Creativity & Imagination, Origami, Painting, Drawing, Motor Skills, Literacy, Numeracy, Shapes, Colours",High,Live-Action with Bright Colors and Simple Settings,Moderate-High,Moderate,Moderate,Moderate-High,Moderate,Low-Moderate
Arthur,2,TV,6-10,25 Seasons,,26 minutes,"Social-Emotional, Friendship, Problem Solving, Family Values, Relatable Situations, Social Development",Moderate,2D Traditional hand-drawn,Moderate-High,Low-Moderate,Moderate,Moderate,Low-Moderate,Moderate
Avatar: The Last Airbender,5,TV,8-14,3 Seasons,,23 minutes,"Life Lessons, Cultural Appreciation, Cultures & Traditions, Teamwork, Morality, Emotional Intelligence, Entertainment, Fantasy Elements, Martial Arts, Friendship, Responsibility, Perseverance, Mild Peril, Mild Fantasy Violence",Low to Moderate,2D animation inspired by anime styles.,High,High,Moderate,Moderate-High,High,High
Baba blast,4,YouTube,3-6,,,,"Early Childhood experiences, Dinosaurs, Paleontology, Natural History, sing-a-long, Dance, Social-Emotional, Exploration, Entertainment",High,Combination of Live-Action and 2D Animation. Color Palette: Bright and primary colors.,High,Moderate-High,Moderate,Moderate,Moderate-High,Moderate
Babar,2,TV,4-8,6 Seasons,,23 minutes,"Friendship, Responsibility, Problem Solving, Leadership, Emotional Intelligence, Perseverance, Family Values, Teamwork",Moderate,Traditional 2D hand-drawn animation.,Moderate,Low-Moderate,Low-Moderate,Moderate,Low,Moderate
Babblarna,1,TV,1-4,1 Season,,3 minutes,"Creativity & Imagination, Language Learning, Repetitive Learning, Social-Emotional, Phonics",High,3D CGI animation delivered slowly and smoothly,Very Low,Low,Moderate,High,Low,Low
Badanamu,4,TV,1-5,4 Seasons,,5 minutes,"Preschool-Basics, sing-a-long, Numeracy, Literacy, Motor Skills, Cognitive Development, Language Learning, Phonics, Emotional Intelligence",High,3D CGI animation with bright and vivid colors.,Low-Moderate,High,Moderate-High,High,High,High
Bananas in Pyjamas (2011-2013),1,TV,2-5,,,12 minutes,"Friendship, Problem Solving, Social-Emotional, sing-a-long, Repetitive Learning",Moderate,3D CGI animation introduces brighter colors and more dynamic visuals but the animation remains straightforward to prevent overstimulation,Moderate,Low-Moderate,Moderate,Moderate,Moderate,Moderate
Barbapapa (1973-2003),3,TV,3-7,2 Seasons,,5 minutes,"Enviromental Awareness, Creativity & Imagination, Social-Emotional",Moderate,traditional hand-drawn 2D animation,Moderate,Low-Moderate,Moderate,Moderate,Low-Moderate,Moderate
Barney & Friends,2,TV,2-5,13 Seasons,,25 minutes,"Preschool-Basics, Dance, Social-Emotional, Friendship, Numeracy, Literacy, Music, Teamwork, Shapes, Emotional Intelligence, sing-a-long",High,Live action with costumed characters,Moderate,Low,Moderate,High,Low,Moderate
"Be Cool, Scooby-Doo! (2015–2018)",5,TV,7-12,,,26 minutes,"Problem Solving, Teamwork, Mystery, Entertainment, Humor, Critical Thinking, Mild Peril, Mild Fantasy Violence",Low,Cartoonish 2D animation style,High,High,High,High,Very-High,High
Bear in the Big Blue House,2,TV,2-5,5 Seasons,,24 minutes,"Social-Emotional, Friendship, Routine, Problem Solving, Emotional Intelligence, Social Development, Relatable Situations, sing-a-long, Bedtime Routines",High,Live-action costumed puppetry with detailed sets. ,Moderate,Low-Moderate,Low-Moderate,Low-Moderate,Low,Low-Moderate
Beep and Mort,1,TV,3-6,2 Seasons,,22 minutes,"Creativity & Imagination, Friendship, Problem Solving, Emotional Intelligence, Adventure, Teamwork, Perseverance, Curiosity",Moderate,Live-action puppetry with colorful characters.,Moderate,Low,Low-Moderate,Moderate,Low-Moderate,Low
Ben & Holly's Little Kingdom (2009-2013),3,TV,4-8,2 Seasons,,25 minutes,"Creativity & Imagination, Problem Solving, Friendship, Teamwork",Moderate,Digital 2D animation,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Between the Lions,3,TV,4-8,11 Seasons,,26 minutes,"Literacy, Phonics, Language Learning, Reading Comprehension, Music, Humor",High,"Combination of live-action puppetry, 2D animation, and CGI effects. Bright but balanced colors, with emphasis on text and literacy elements.",High,Moderate,Moderate,High,Moderate,Moderate-High
Bill Nye the Science Guy,5,TV,8-14,5 Seasons,,23 minutes,"STEM, Cause and Effect, Safety, Discovery, Science, Critical Thinking, Experimentation, Curiosity, Natural World, Problem Solving",High,"Live-action with fast-paced editing, animations, and special effects.",High,High,Moderate-High,High,High,High
Bing,2,TV,2-4,4 Seasons,,7 minutes,"Social Development, Emotional Intelligence, Problem Solving",Low to Moderate,3D CGI animation,Moderate,Low-Moderate,Low-Moderate,Moderate,Low,Low
Blippi,5,YouTube,2-5,,,,"Preschool-Basics, Early Childhood experiences, Creativity & Imagination, Curiosity, Animals, Natural World, Exploration, sing-a-long, Dance, Vocabulary, Adventure, Silly Comedy, Colours, Shapes, Nature, Hyper-Activity",High,Live-Action with Bright Colors and Real-World Settings,High,High,High,High,High,High
Blue's Clues (1996-2007),1,TV,3-6,6 Seasons,,25 minutes,"Preschool-Basics, Emotional Intelligence, Critical Thinking, Problem Solving",High,"Live action, Digital 2D animation",Moderate,Low,Low-Moderate,Moderate,Low,Very Low
Blue's Clues & You! (2019) ,1,TV,3-6,,,22 minutes,"Preschool-Basics, Emotional Intelligence, Problem Solving, Critical Thinking",High,"Live action, 3D CGI animation",Moderate,Low,Low-Moderate,Moderate,Low,Very Low
Bluey 2018-present,3,TV,3-8,4 Seasons,,7 minutes,"Creativity & Imagination, Emotional Intelligence, Conflict Resolution, Family Values, Family Relationships",Moderate,Digital 2D animation,Moderate,Moderate,Moderate,High,Moderate,Moderate
Bob the Builder (1997-2015),3,TV,3-6,21 Seasons,,10 minutes,"Creativity & Imagination, Problem Solving, Friendship, Teamwork, Repetitive Learning",Low to Moderate,Traditional Stop-Motion animation,Moderate,Moderate,Moderate,Moderate,Moderate,Low-Moderate
Bob the Builder (2015-2018) ,4,TV,3-6,,,11 minutes,"Creativity & Imagination, Problem Solving, Friendship, Teamwork, Repetitive Learning",Low to Moderate,3D CGI animation,Moderate,Moderate-High,Moderate,Moderate,Moderate,Moderate-High
Boba the Show (2021-present),4,TV,3-6,5 Seasons,,10 minutes,"Creativity & Imagination, Early Childhood experiences, Social-Emotional, Friendship, Emotional Intelligence, Social Development, sing-a-long, Dance, Humor, Motor Skills",Moderate,3D CGI animation with realistic textures and environments.,Low,High,Moderate-High,High,High,High
Bounce Patrol,5,YouTube,3-6,,,,"Preschool-Basics, Literacy, Numeracy, Colours, Animals, Social-Emotional, sing-a-long, Dance, Phonics, Vocabulary, Exercise",High,Live-Action with Bright Colors and Simple Settings,High,High,High,Very-High,High,High
Brain Candy TV,5,YouTube,Any,,,,"Spacetime and the Cosmos, Preschool-Basics, Elementary-Basics, STEM, Early Childhood experiences, Engineering Concepts, Science, Language Learning, Phonics, Vocabulary, Cognitive Development, Curiosity, Natural History, Colours, Literacy",High,3D CGI Animation with Bright Colors and Realistic Models,Moderate-High,Mod-High (Nature),Moderate,Moderate-High,High,Moderate
Bubble Guppies,5,TV,3-6,6 Seasons,,23 minutes,"Elementary-Basics, Math, Literacy, Science, Social-Emotional, Teamwork, sing-a-long, Problem Solving, Numeracy, Cognitive Development",High,3D CGI animation set in an underwater world. Extremely bright and vivid colors with high saturation.,High,High,Moderate-High,High,High,High
Builder Brothers' Dream Factory,3,TV,4-8,1 Season,,11 minutes,"STEM, Creativity & Imagination, Engineering Concepts, Teamwork, Critical Thinking",High,3D CGI Animation with detailed environments.,Moderate-High,Moderate,Moderate-High,Moderate-High,Moderate-High,Moderate-High
Caillou (1997-2010),2,TV,2-5,8 Seasons,,22 minutes,"Social-Emotional, Family Relationships, Relatable Situations, Patience, Emotional Intelligence, Conflict Resolution, Friendship, Frequent Whining, Tantrums, Lack of Consequences",Low,Traditional hand-drawn 2D animation. DIgital later in the seasons,Moderate,Low-Moderate,Moderate,Moderate,Low-Moderate,Low-Moderate
Caitie's Classroom (SuperSimplePlay),3,YouTube,1-5,,,,"Preschool-Basics, Early Childhood experiences, STEM, Elementary-Basics, Cultural & Social, sing-a-long, Dance, Music, Social-Emotional, Literacy, Numeracy, Social Development, Emotional Intelligence, Motor Skills",High,Live-Action with Puppetry and Props,High,Moderate,Moderate,High,Moderate,Moderate
